"regionname","countyname","first_date","last_date","?column?","appreciation"
"63021","Saint Louis County",170410.97161707128,407984.6217197546,325,NULL
"63129","Saint Louis County",161399.56198559306,355190.8036641874,325,NULL
"63031","Saint Louis County",82640.87814796934,176231.11977737467,325,NULL
"63123","Saint Louis County",106623.80170208302,250372.70949561158,325,NULL
"63136","Saint Louis County",75203.30818734127,86847.27032140119,325,NULL
"63116","Saint Louis City",79680.35816326739,185056.3455120173,325,NULL
"63017","Saint Louis County",251575.1175807184,581138.7343982769,325,NULL
"63033","Saint Louis County",87600.81432796059,201914.44659942365,325,NULL
"63122","Saint Louis County",206900.34074494152,548407.1692165845,325,NULL
"63011","Saint Louis County",182413.03118503632,449354.7283852902,325,NULL
"63114","Saint Louis County",60054.95957935652,141537.25303647443,325,NULL
"63119","Saint Louis County",160899.20415284127,390267.7166297117,325,NULL
"63125","Saint Louis County",82206.98132553887,213505.28005340233,325,NULL
"63146","Saint Louis County",168128.71627914294,360329.7162344721,325,NULL
"63130","Saint Louis County",135993.18460571993,279598.67686531367,325,NULL
"63128","Saint Louis County",175937.54686956908,388965.656926011,325,NULL
"63118","Saint Louis City",96393.51526407819,181808.0172930781,325,NULL
"63109","Saint Louis City",100219.6376588603,272104.48606116953,325,NULL
"63121","Saint Louis County",88591.6802059074,90892.71426683427,325,NULL
"63043","Saint Louis County",112089.61918151646,270324.8587356887,325,NULL
"63141","Saint Louis County",321515.26790205453,762086.2426865489,325,NULL
"63139","Saint Louis City",NULL,228131.16057569362,325,NULL
"63110","Saint Louis City",83355.86884346468,317591.57291912223,325,NULL
"63111","Saint Louis City",70373.5891732883,122664.40711642556,325,NULL
"63137","Saint Louis County",70365.10874138387,95248.22672393236,325,NULL
"63005","Saint Louis County",395181.2520332612,853081.1576886697,325,NULL
"63112","Saint Louis City",147963.42603413103,137827.75817866946,325,NULL
"63034","Saint Louis County",146133.43138194698,281808.3127106371,325,NULL
"63131","Saint Louis County",415548.18381532485,994889.7594326701,325,NULL
"63138","Saint Louis County",85192.97867382903,151786.24374653117,325,NULL
"63042","Saint Louis County",81036.65133656077,177012.9851432422,325,NULL
"63115","Saint Louis City",NULL,40305.67207293125,325,NULL
"63135","Saint Louis County",77106.32600148732,111536.75813077285,325,NULL
"63104","Saint Louis City",119625.37885795055,328766.9543213662,325,NULL
"63108","Saint Louis City",171437.73689106063,416526.2861891985,325,NULL
"63105","Saint Louis County",482477.0619256073,1121949.3119248569,325,NULL
"63069","Saint Louis County",112256.65793333201,307270.1144760723,325,NULL
"63126","Saint Louis County",138838.9300561325,344031.3284805227,325,NULL
"63074","Saint Louis County",70838.86441471212,158901.8563056951,325,NULL
"63025","Saint Louis County",195357.7311804168,426071.6821502913,325,NULL
"63132","Saint Louis County",145358.845987847,388368.73823146237,325,NULL
"63134","Saint Louis County",48150.2655197739,113155.32703515455,325,NULL
"63044","Saint Louis County",130302.23645580899,288362.716279875,325,NULL
"63124","Saint Louis County",564135.2380036609,1328051.988688948,325,NULL
"63113","Saint Louis City",NULL,50847.68082112225,325,NULL
"63103","Saint Louis City",NULL,91418.09991888778,325,NULL
"63117","Saint Louis County",149505.89564939102,367746.7024267651,325,NULL
"63144","Saint Louis County",160075.78813869326,361456.5106900919,325,NULL
"63088","Saint Louis County",126451.55672608504,309561.11347056256,325,NULL
"63143","Saint Louis County",73406.5410254798,257380.45398236462,325,NULL
"63040","Saint Louis County",213105.45272656105,494298.9100279549,325,NULL
"63147","Saint Louis City",NULL,66676.91067698863,325,NULL
"63107","Saint Louis City",NULL,44081.784736077076,325,NULL
"63038","Saint Louis County",303381.1154641827,673130.6088681874,325,NULL
"63106","Saint Louis City",83350.30918196088,117566.68890889535,325,NULL
"63120","Saint Louis City",NULL,37521.412139753185,325,NULL
"63133","Saint Louis County",33327.20467160457,78365.61376177148,325,NULL
"63127","Saint Louis County",276037.1115265367,673084.6103062591,325,NULL
